lonlat,date,lon,lat,sif,sif_sigma,year,doy,month,dayssinceapril1,group
x-122.7y39.3,2018-08-31,-122.699996948242,39.3000030517578,0.0131449997425079,0.310249000787735,2018,243,8,152,burned
x-122.7y39.3,2018-09-08,-122.699996948242,39.3000030517578,0.149755001068115,0.313625991344452,2018,251,9,160,burned
x-122.7y39.3,2018-09-16,-122.699996948242,39.3000030517578,0.0325886011123657,0.288098007440567,2018,259,9,168,burned
x-122.7y39.3,2018-09-24,-122.699996948242,39.3000030517578,0.0011739400215447,0.293204993009567,2018,267,9,176,burned
x-122.7y39.3,2018-10-02,-122.699996948242,39.3000030517578,0.00148932996671647,0.316439002752304,2018,275,10,184,burned
x-122.7y39.3,2018-10-10,-122.699996948242,39.3000030517578,0.0363073013722897,0.264600992202759,2018,283,10,192,burned
x-122.7y39.3,2018-10-18,-122.699996948242,39.3000030517578,-0.125127002596855,0.264311999082565,2018,291,10,200,burned
x-122.7y39.3,2018-10-26,-122.699996948242,39.3000030517578,0.043207298964262,0.255499988794327,2018,299,10,208,burned
x-122.7y39.3,2018-11-03,-122.699996948242,39.3000030517578,0.0691052973270416,0.263599008321762,2018,307,11,216,burned
x-122.7y39.3,2018-11-11,-122.699996948242,39.3000030517578,-0.00741411978378892,0.26588100194931,2018,315,11,224,burned
x-122.7y39.3,2018-11-19,-122.699996948242,39.3000030517578,0.0474299006164074,0.243809998035431,2018,323,11,232,burned
x-122.7y39.3,2018-11-27,-122.699996948242,39.3000030517578,0.0070899398997426,0.289938986301422,2018,331,11,240,burned
x-122.7y39.3,2018-12-05,-122.699996948242,39.3000030517578,-0.0366667993366718,0.272446990013123,2018,339,12,248,burned
x-122.7y39.3,2018-12-13,-122.699996948242,39.3000030517578,0.105111002922058,0.257806986570358,2018,347,12,256,burned
x-122.7y39.3,2018-12-21,-122.699996948242,39.3000030517578,-0.0646440014243126,0.24957999587059,2018,355,12,264,burned
x-122.7y39.3,2018-12-29,-122.699996948242,39.3000030517578,0.0285516995936632,0.246895998716354,2018,363,12,272,burned
x-122.7y39.3,2019-01-06,-122.699996948242,39.3000030517578,0.116755999624729,0.328593999147415,2019,6,1,280,burned
x-122.7y39.3,2019-01-14,-122.699996948242,39.3000030517578,0.0121723003685474,0.304026991128922,2019,14,1,288,burned
x-122.7y39.3,2019-01-22,-122.699996948242,39.3000030517578,-0.006542659830302,0.26826599240303,2019,22,1,296,burned
x-122.7y39.3,2019-01-30,-122.699996948242,39.3000030517578,0.00053795799612999,0.316145002841949,2019,30,1,304,burned
x-122.7y39.3,2019-02-07,-122.699996948242,39.3000030517578,0.275166988372803,0.48487201333046,2019,38,2,312,burned
x-122.7y39.3,2019-02-15,-122.699996948242,39.3000030517578,-0.0350452996790409,0.379153996706009,2019,46,2,320,burned
x-122.7y39.3,2019-02-23,-122.699996948242,39.3000030517578,0.0959073975682259,0.448812007904053,2019,54,2,328,burned
x-122.7y39.3,2019-03-03,-122.699996948242,39.3000030517578,-0.0481319017708302,0.374191999435425,2019,62,3,336,burned
x-122.7y39.3,2019-03-11,-122.699996948242,39.3000030517578,-0.00369632989168167,0.333752006292343,2019,70,3,344,burned
x-122.7y39.3,2019-03-19,-122.699996948242,39.3000030517578,-0.0691260993480682,0.396587014198303,2019,78,3,352,burned
x-122.7y39.3,2019-03-27,-122.699996948242,39.3000030517578,0.17773599922657,0.391209006309509,2019,86,3,360,burned
x-122.7y39.3,2019-04-04,-122.699996948242,39.3000030517578,0.0862066969275475,0.358361005783081,2019,94,4,368,burned
x-122.7y39.3,2019-04-12,-122.699996948242,39.3000030517578,-0.0642431005835533,0.337399989366531,2019,102,4,376,burned
x-122.7y39.3,2019-04-20,-122.699996948242,39.3000030517578,0.196817994117737,0.349377989768982,2019,110,4,384,burned
x-122.7y39.3,2019-04-28,-122.699996948242,39.3000030517578,0.112378001213074,0.346998006105423,2019,118,4,392,burned
x-122.7y39.3,2019-05-06,-122.699996948242,39.3000030517578,0.0158473998308182,0.357423007488251,2019,126,5,400,burned
x-122.7y39.3,2019-05-14,-122.699996948242,39.3000030517578,0.0322044007480145,0.430144011974335,2019,134,5,408,burned
x-122.7y39.3,2019-05-22,-122.699996948242,39.3000030517578,0.107311002910137,0.423449993133545,2019,142,5,416,burned
x-122.7y39.3,2019-05-30,-122.699996948242,39.3000030517578,0.215001001954079,0.366185009479523,2019,150,5,424,burned
x-122.7y39.3,2019-06-07,-122.699996948242,39.3000030517578,0.407292991876602,0.363258987665176,2019,158,6,432,burned
x-122.7y39.3,2019-06-15,-122.699996948242,39.3000030517578,0.299492001533508,0.372711986303329,2019,166,6,440,burned
x-122.7y39.3,2019-06-23,-122.699996948242,39.3000030517578,0.411491990089417,0.383695006370544,2019,174,6,448,burned
x-122.7y39.3,2019-07-01,-122.699996948242,39.3000030517578,0.354180991649628,0.376383006572723,2019,182,7,456,burned
x-122.7y39.3,2019-07-09,-122.699996948242,39.3000030517578,0.322690010070801,0.370164006948471,2019,190,7,464,burned
x-122.7y39.3,2019-07-17,-122.699996948242,39.3000030517578,0.32659900188446,0.365938007831574,2019,198,7,472,burned
x-122.7y39.3,2019-07-25,-122.699996948242,39.3000030517578,0.35631400346756,0.353543996810913,2019,206,7,480,burned
x-122.7y39.3,2019-08-02,-122.699996948242,39.3000030517578,0.145848006010056,0.415679007768631,2019,214,8,488,burned
x-122.7y39.3,2019-08-10,-122.699996948242,39.3000030517578,0.350677996873856,0.416195005178452,2019,222,8,496,burned
x-122.7y39.3,2019-08-18,-122.699996948242,39.3000030517578,0.226279005408287,0.404442995786667,2019,230,8,504,burned
x-122.7y39.3,2019-08-26,-122.699996948242,39.3000030517578,0.154709994792938,0.39776998758316,2019,238,8,512,burned
x-122.7y39.3,2019-09-03,-122.699996948242,39.3000030517578,0.205823004245758,0.41610598564148,2019,246,9,520,burned
x-122.7y39.3,2019-09-11,-122.699996948242,39.3000030517578,0.163030996918678,0.395819008350372,2019,254,9,528,burned
x-122.7y39.3,2019-09-19,-122.699996948242,39.3000030517578,0.158074006438255,0.372370988130569,2019,262,9,536,burned
x-122.7y39.3,2019-09-27,-122.699996948242,39.3000030517578,0.25272798538208,0.393644005060196,2019,270,9,544,burned
x-122.7y39.3,2019-10-05,-122.699996948242,39.3000030517578,0.162355005741119,0.351024985313416,2019,278,10,552,burned
x-122.7y39.3,2019-10-13,-122.699996948242,39.3000030517578,0.19871099293232,0.355796992778778,2019,286,10,560,burned
x-122.7y39.3,2019-10-21,-122.699996948242,39.3000030517578,0.167811006307602,0.333828002214432,2019,294,10,568,burned
x-122.7y39.3,2019-10-29,-122.699996948242,39.3000030517578,0.0805282965302467,0.325762003660202,2019,302,10,576,burned
x-122.7y39.3,2019-11-06,-122.699996948242,39.3000030517578,0.00183170998934656,0.323152005672455,2019,310,11,584,burned
x-122.7y39.3,2019-11-14,-122.699996948242,39.3000030517578,0.085021898150444,0.320019006729126,2019,318,11,592,burned
x-122.7y39.3,2019-11-22,-122.699996948242,39.3000030517578,0.0349057987332344,0.341843008995056,2019,326,11,600,burned
x-122.7y39.3,2019-11-30,-122.699996948242,39.3000030517578,0.0808378979563713,0.418713986873627,2019,334,11,608,burned
x-122.7y39.3,2019-12-08,-122.699996948242,39.3000030517578,-0.0686225965619087,0.32040399312973,2019,342,12,616,burned
x-122.7y39.3,2019-12-16,-122.699996948242,39.3000030517578,0.0837446004152298,0.316477000713348,2019,350,12,624,burned
x-122.7y39.3,2019-12-24,-122.699996948242,39.3000030517578,0.0869833007454872,0.308091998100281,2019,358,12,632,burned
x-122.7y39.3,2020-01-01,-122.699996948242,39.3000030517578,0.0492414012551308,0.320262014865875,2020,1,1,640,burned
x-122.7y39.3,2020-01-09,-122.699996948242,39.3000030517578,0.00731582986190915,0.334430009126663,2020,9,1,648,burned
x-122.7y39.3,2020-01-17,-122.699996948242,39.3000030517578,-0.0687365010380745,0.373652994632721,2020,17,1,656,burned
x-122.7y39.3,2020-01-25,-122.699996948242,39.3000030517578,-0.0520591996610165,0.323177993297577,2020,25,1,664,burned
x-122.7y39.3,2020-02-02,-122.699996948242,39.3000030517578,0.0553947016596794,0.338297009468079,2020,33,2,672,burned
x-122.7y39.3,2020-02-10,-122.699996948242,39.3000030517578,0.0283211003988981,0.329459995031357,2020,41,2,680,burned
x-122.7y39.3,2020-02-18,-122.699996948242,39.3000030517578,0.192210003733635,0.337576001882553,2020,49,2,688,burned
x-122.7y39.3,2020-02-26,-122.699996948242,39.3000030517578,0.139759004116058,0.352999001741409,2020,57,2,696,burned
x-122.7y39.3,2020-03-05,-122.699996948242,39.3000030517578,0.15251100063324,0.385598987340927,2020,65,3,704,burned
x-122.7y39.3,2020-03-13,-122.699996948242,39.3000030517578,0.0615588016808033,0.42765200138092,2020,73,3,712,burned
x-122.7y39.3,2020-03-21,-122.699996948242,39.3000030517578,0.163776993751526,0.44683301448822,2020,81,3,720,burned
x-122.7y39.3,2020-03-29,-122.699996948242,39.3000030517578,0.177384003996849,0.422870010137558,2020,89,3,728,burned
x-122.7y39.3,2020-04-06,-122.699996948242,39.3000030517578,-0.103171996772289,0.423835009336472,2020,97,4,736,burned
x-122.7y39.3,2020-04-14,-122.699996948242,39.3000030517578,0.206909000873566,0.428315013647079,2020,105,4,744,burned
x-122.7y39.3,2020-04-22,-122.699996948242,39.3000030517578,0.432763010263443,0.418013989925385,2020,113,4,752,burned
x-122.7y39.3,2020-04-30,-122.699996948242,39.3000030517578,0.549161970615387,0.423536986112595,2020,121,4,760,burned
x-122.7y39.3,2020-05-08,-122.699996948242,39.3000030517578,0.476087987422943,0.451564013957977,2020,129,5,768,burned
x-122.7y39.3,2020-05-16,-122.699996948242,39.3000030517578,0.522400975227356,0.453801989555359,2020,137,5,776,burned
x-122.7y39.3,2020-05-24,-122.699996948242,39.3000030517578,0.487810999155045,0.433100998401642,2020,145,5,784,burned
x-122.7y39.3,2020-06-01,-122.699996948242,39.3000030517578,0.656177997589111,0.446269989013672,2020,153,6,792,burned
x-122.7y39.3,2020-06-09,-122.699996948242,39.3000030517578,0.476024001836777,0.493555992841721,2020,161,6,800,burned
x-122.7y39.3,2020-06-17,-122.699996948242,39.3000030517578,0.483453005552292,0.449072986841202,2020,169,6,808,burned
x-122.7y39.3,2020-06-25,-122.699996948242,39.3000030517578,0.387199014425278,0.436066001653671,2020,177,6,816,burned
x-122.7y39.3,2020-07-03,-122.699996948242,39.3000030517578,0.440055012702942,0.436884999275208,2020,185,7,824,burned
x-122.7y39.3,2020-07-11,-122.699996948242,39.3000030517578,0.373228013515472,0.429262012243271,2020,193,7,832,burned
x-122.7y39.3,2020-07-19,-122.699996948242,39.3000030517578,0.137558996677399,0.430465012788773,2020,201,7,840,burned
x-122.7y39.3,2020-07-27,-122.699996948242,39.3000030517578,0.295996010303497,0.422675997018814,2020,209,7,848,burned
x-122.7y39.3,2020-08-04,-122.699996948242,39.3000030517578,0.274396002292633,0.427428990602493,2020,217,8,856,burned
x-122.7y39.3,2020-08-12,-122.699996948242,39.3000030517578,0.306775003671646,0.424059003591538,2020,225,8,864,burned
x-122.7y39.5,2018-04-01,-122.699996948242,39.5000038146973,0.555706977844238,0.362839996814728,2018,91,4,0,burned
x-122.7y39.5,2018-04-09,-122.699996948242,39.5000038146973,0.484997004270554,0.38128998875618,2018,99,4,8,burned
x-122.7y39.5,2018-04-17,-122.699996948242,39.5000038146973,0.565151989459992,0.371881991624832,2018,107,4,16,burned
x-122.7y39.5,2018-04-25,-122.699996948242,39.5000038146973,0.492917001247406,0.37924399971962,2018,115,4,24,burned
x-122.7y39.5,2018-05-03,-122.699996948242,39.5000038146973,0.587072014808655,0.369271010160446,2018,123,5,32,burned
x-122.7y39.5,2018-05-11,-122.699996948242,39.5000038146973,0.456243008375168,0.411384999752045,2018,131,5,40,burned
x-122.7y39.5,2018-05-19,-122.699996948242,39.5000038146973,0.586245000362396,0.410596013069153,2018,139,5,48,burned
x-122.7y39.5,2018-05-27,-122.699996948242,39.5000038146973,0.750737011432648,0.381500989198685,2018,147,5,56,burned
x-122.7y39.5,2018-06-04,-122.699996948242,39.5000038146973,0.839183986186981,0.38850399851799,2018,155,6,64,burned
x-122.7y39.5,2018-06-12,-122.699996948242,39.5000038146973,0.710426986217499,0.381633013486862,2018,163,6,72,burned
x-122.7y39.5,2018-06-20,-122.699996948242,39.5000038146973,0.818458020687103,0.386272996664047,2018,171,6,80,burned
x-122.7y39.5,2018-06-28,-122.699996948242,39.5000038146973,0.917407989501953,0.388170003890991,2018,179,6,88,burned
